condition,seed,agent,time_sec,phase_rad
shared,15138832,3,16.000000,0.251373
shared,15138832,4,16.000000,0.251373
shared,15138832,5,16.000000,0.251373
shared,15138832,6,16.000000,0.251373
shared,15138832,7,16.000000,0.251373
shared,15138832,8,16.000000,0.251373
shared,15138832,9,16.000000,0.251373
shared,15138832,10,16.000000,0.251373
shared,15138832,11,16.000000,0.251373
shared,15138832,12,16.000000,0.251373
shared,15138832,13,16.000000,0.251373
shared,15138832,14,16.000000,0.251373
shared,15138832,16,16.000000,0.251373
shared,15138832,17,16.000000,0.251373
shared,15138832,18,16.000000,0.251373
shared,15138832,19,16.000000,0.251373
shared,15138832,20,16.000000,0.251373
shared,15138832,21,16.000000,0.251373
shared,15138832,22,16.000000,0.251373
shared,15138832,24,16.000000,0.251373
shared,15138832,25,16.000000,0.251373
shared,15138832,26,16.000000,0.251373
